0,1,2,3,4,5,6,7,8,9,10,11
0.02,1.20,0.07,-21.69,-98.82,1.08,-15.82,20.51,-0.02,1.51,2.01,-8.20
0.15,1.05,0.03,-2.30,5.97,-9.72,-15.53,20.21,-0.14,1.42,2.16,-7.62
-0.04,0.95,-0.12,5.45,36.67,-7.06,-15.53,20.21,0.04,1.44,1.98,-7.62
-0.25,1.15,0.23,54.31,19.45,9.09,-15.53,22.85,0.21,1.28,1.91,-9.38
-0.48,1.15,0.77,117.35,-35.22,57.08,-17.87,21.68,0.34,0.90,2.09,-11.43
0.47,1.64,-2.00,-31.07,-46.70,-40.62,-17.29,22.27,-0.18,0.67,2.40,-9.96
0.41,0.31,-1.74,-56.74,56.99,32.14,-17.58,21.68,-0.23,0.17,2.38,-9.67
-0.17,-0.32,-0.41,-2.72,-31.72,18.99,-17.58,21.68,0.31,-0.63,2.09,-8.50
0.18,-0.30,-0.64,15.17,46.99,-27.24,-17.29,21.68,-0.25,-0.42,2.07,-8.50
0.09,0.15,-0.96,27.76,37.50,-40.53,-16.70,21.97,-0.09,0.15,2.29,-10.25
-0.26,0.85,-1.46,61.71,-52.35,27.63,-16.11,21.68,0.15,0.52,2.21,-9.08
0.32,2.00,0.07,-110.27,249.99,-37.27,-15.23,22.27,-0.16,1.41,2.20,-9.38
-0.15,0.93,-0.27,-33.68,-112.88,9.23,-14.94,20.51,0.15,1.25,1.93,-6.74
0.43,1.22,0.17,7.37,47.55,0.86,-14.94,20.51,-0.34,1.21,2.36,-6.45
0.03,0.99,-0.26,5.91,17.33,-7.79,-15.23,20.51,-0.03,1.31,2.09,-7.32
-0.15,1.08,0.18,30.33,48.65,0.08,-14.94,21.68,0.14,1.36,1.91,-7.91
-0.47,1.13,1.08,179.41,17.31,55.21,-16.70,22.56,0.29,0.77,2.10,-10.25
-0.47,2.00,-1.00,9.25,-138.32,-22.38,-17.87,21.97,0.21,1.07,2.05,-8.79
0.27,0.41,-1.61,-8.02,46.05,26.44,-17.87,21.68,-0.16,0.24,2.37,-9.38
-0.17,-0.31,-0.57,10.70,-19.68,-5.87,-17.29,22.85,0.25,-0.48,2.08,-9.38
0.09,-0.34,-0.69,15.92,49.58,-23.09,-16.70,23.44,-0.12,-0.46,1.98,-9.38
0.02,0.02,-1.02,11.31,12.37,-14.67,-16.99,22.85,-0.02,0.02,2.22,-9.96
-0.37,0.76,-1.26,50.28,-84.15,26.69,-16.70,21.97,0.24,0.52,2.18,-9.38
-0.20,2.00,0.55,-114.06,211.23,-12.86,-14.94,22.56,0.10,1.29,1.98,-8.50
0.32,1.13,-0.20,-26.47,-35.15,9.40,-15.53,21.09,-0.27,1.25,2.33,-7.91
-0.07,0.97,-0.48,-25.75,-27.83,-3.88,-15.23,20.21,0.06,1.11,2.09,-6.74
-0.08,0.98,0.23,-4.69,9.58,-12.57,-15.23,20.80,0.08,1.33,1.93,-6.15
-0.25,1.16,0.44,42.01,30.30,4.96,-14.94,22.27,0.20,1.16,1.93,-7.62
-0.52,1.34,0.80,143.60,-12.15,63.77,-16.70,21.39,0.32,0.95,2.03,-9.67
0.45,1.16,-2.00,13.48,-73.49,12.72,-17.29,21.39,-0.19,0.52,2.41,-9.38
-0.05,0.42,-1.20,-12.47,16.33,33.16,-18.16,21.09,0.04,0.34,2.32,-9.38
0.18,-0.32,-0.70,5.79,10.55,6.33,-17.58,21.09,-0.23,-0.42,2.10,-8.50
0.06,-0.28,-0.70,8.74,41.08,-28.72,-17.58,21.39,-0.08,-0.38,2.10,-9.96
0.10,0.07,-1.09,24.15,12.84,-31.94,-17.58,22.85,-0.09,0.06,2.27,-9.96
-0.75,1.58,-0.40,1.57,-206.99,12.94,-17.29,20.51,0.43,1.08,1.92,-9.38
-0.57,1.47,0.33,-88.36,206.12,-18.07,-15.53,21.39,0.36,1.15,1.86,-8.79
0.15,1.16,-0.24,-19.97,-49.51,9.76,-15.82,20.80,-0.13,1.33,2.20,-8.20
-0.01,0.97,-0.29,-14.92,-51.39,0.18,-15.82,19.92,0.01,1.28,2.03,-5.86
0.09,1.01,-0.09,-10.51,39.71,-13.05,-15.53,20.21,-0.09,1.44,2.07,-7.03
-0.19,1.17,0.21,42.21,42.43,-4.47,-15.23,21.97,0.16,1.33,1.88,-7.32
-0.43,1.17,0.54,139.77,-21.39,52.25,-16.70,21.97,0.32,1.04,1.99,-9.96
0.30,1.73,-1.76,0.11,-97.82,-23.88,-16.99,21.39,-0.12,0.77,2.37,-9.38
-0.03,0.59,-1.65,-30.58,19.63,42.55,-17.58,21.39,0.02,0.34,2.31,-9.08
0.08,-0.39,-0.75,-13.23,0.97,9.12,-16.99,21.09,-0.10,-0.48,2.04,-8.50
0.04,-0.49,-0.59,27.97,14.63,-22.66,-17.58,20.80,-0.05,-0.69,1.89,-9.67
0.21,0.09,-1.09,42.03,32.97,-58.88,-16.70,22.56,-0.19,0.08,2.29,-10.25
-0.74,1.31,-0.65,-2.47,-38.77,16.73,-16.41,22.27,0.47,0.93,1.91,-9.38
-1.21,2.00,1.30,-57.45,211.75,-20.26,-16.11,22.56,0.47,0.84,1.94,-9.67
0.71,0.84,-0.87,-14.21,-39.06,11.29,-16.70,21.39,-0.53,0.64,2.62,-8.79
0.02,0.98,-0.55,-26.89,-18.47,-9.83,-16.11,21.68,-0.02,1.06,2.19,-8.20
-0.15,0.97,-0.18,-18.71,23.64,-10.35,-15.53,21.68,0.15,1.33,1.92,-8.20
-0.19,1.20,0.61,32.10,4.78,-2.70,-15.53,22.27,0.14,1.08,2.06,-9.08
-0.58,1.20,0.54,150.47,-39.88,52.06,-16.99,22.27,0.42,0.98,1.94,-9.67
0.76,1.53,-2.00,-20.94,-77.78,-17.49,-17.29,21.97,-0.29,0.62,2.47,-9.38
0.07,0.08,-1.43,-41.66,40.96,29.20,-17.29,22.56,-0.05,0.06,2.25,-8.50
0.11,-0.61,-0.57,12.50,20.87,13.74,-17.87,22.85,-0.14,-0.81,1.75,-8.50
0.02,-0.47,-0.74,36.41,25.60,-28.26,-17.58,23.44,-0.03,-0.57,1.95,-9.67
0.07,0.39,-1.30,20.85,23.85,-39.34,-16.11,23.73,-0.05,0.29,2.25,-10.55
-0.70,2.00,-1.10,-95.05,-96.15,-52.03,-15.82,22.56,0.30,0.99,1.99,-9.67
-1.06,1.20,0.79,-65.44,71.43,-13.95,-15.53,22.27,0.64,0.73,1.88,-9.08
0.27,0.93,-0.40,-26.05,-36.07,-0.96,-15.53,21.68,-0.26,1.09,2.34,-7.62
0.07,1.02,-0.31,-19.04,-28.23,-5.68,-15.23,21.39,-0.07,1.27,2.12,-7.32
0.01,1.00,0.08,-8.82,39.90,-11.99,-14.65,21.39,-0.01,1.49,1.95,-7.32
-0.23,1.23,0.48,66.25,62.10,11.07,-15.23,22.85,0.17,1.16,2.00,-9.38
-0.88,2.00,0.54,113.46,-128.30,102.49,-16.41,22.56,0.40,1.09,1.86,-9.38
0.10,1.00,-2.00,-16.34,-3.56,52.99,-16.70,21.97,-0.04,0.46,2.30,-8.79
-0.15,0.12,-0.88,-52.34,-21.58,36.35,-17.58,20.80,0.16,0.13,2.26,-7.62
0.29,-0.46,-0.53,-6.39,-9.93,2.16,-17.29,20.51,-0.40,-0.64,1.88,-7.03
