,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
131,0.1,0.68,-0.56,15.52,-40.22,6.11,-10.25,29.88,-21.09
132,0.16,0.89,-0.72,22.5,-14.43,-8.22,-10.25,29.0,-21.39
133,0.19,1.16,-0.56,12.5,51.45,-7.17,-10.55,29.0,-22.85
134,0.57,1.56,-0.5,-78.0,13.11,-9.87,-9.96,29.59,-23.44
135,-0.28,1.34,-0.02,-16.47,53.93,-1.98,-9.38,30.47,-23.14
136,0.19,1.13,-0.09,-22.53,-17.27,2.27,-9.67,29.59,-22.85
137,0.17,1.0,-0.27,-2.62,24.25,1.33,-9.08,30.18,-22.56
138,0.33,1.05,-0.33,-16.27,8.18,-0.27,-9.96,30.47,-22.56
139,0.21,1.0,-0.14,-1.2,-5.35,2.11,-9.08,29.59,-22.56
140,0.22,1.02,-0.26,-1.66,-12.91,3.33,-9.08,29.0,-21.68
141,0.24,1.0,-0.25,-6.72,-7.43,1.66,-9.08,29.59,-22.27
142,0.17,1.01,-0.19,-5.05,-11.2,1.97,-8.79,28.71,-21.68
143,0.15,1.02,-0.13,4.39,-14.1,1.54,-9.38,29.3,-21.97
144,0.2,1.03,-0.14,12.32,-29.2,0.32,-9.67,29.0,-22.27
145,0.26,1.03,-0.29,8.77,-25.39,-3.81,-9.08,29.3,-22.56
146,0.28,1.01,-0.08,26.95,-2.01,-10.9,-9.96,29.3,-22.27
147,0.44,1.14,0.32,80.57,2.27,-3.76,-10.25,29.59,-23.73
148,-0.29,1.85,0.07,61.36,-127.62,29.07,-11.13,28.71,-23.73
149,0.52,1.45,-0.57,-54.13,-13.93,2.49,-11.13,28.71,-22.85
150,0.32,0.78,-0.62,-31.9,26.36,0.92,-10.84,29.59,-22.85
151,0.24,0.6,-0.76,-33.42,47.19,-0.4,-10.55,31.05,-22.27
152,-0.06,0.53,-0.39,-48.17,15.35,-14.41,-9.67,31.05,-21.39
153,0.08,0.27,-0.55,0.57,1.24,-6.76,-9.96,31.05,-21.68
154,0.08,0.57,-0.48,27.09,-24.23,-2.69,-9.96,30.76,-21.09
155,0.07,0.67,-0.57,34.81,-33.88,-13.34,-10.25,30.18,-21.68
156,0.19,1.04,-0.73,47.0,9.74,-11.92,-10.55,29.88,-22.85
157,0.23,1.19,-0.59,28.35,50.9,1.27,-10.84,29.88,-24.61
158,-0.06,1.69,-0.1,-101.37,-66.31,23.39,-9.96,29.59,-24.32
159,0.6,1.37,-0.3,2.01,118.27,-9.29,-9.67,29.88,-23.73
160,0.17,1.02,0.14,-23.36,4.97,5.29,-9.38,29.3,-22.85
161,0.06,1.01,-0.16,-7.15,-18.88,2.59,-9.96,29.3,-23.44
162,0.39,0.98,-0.37,-14.47,8.45,-1.41,-9.96,29.88,-23.14
163,0.22,1.03,-0.18,-9.57,6.47,0.94,-9.08,29.59,-22.27
164,0.21,1.03,-0.08,-3.26,-5.69,2.67,-9.08,29.88,-22.56
165,0.2,1.03,-0.24,-2.95,-16.98,3.4,-9.08,29.59,-22.56
166,0.23,1.03,-0.17,-0.63,-16.43,3.52,-9.38,29.3,-21.68
167,0.26,1.0,-0.08,12.05,-11.38,1.69,-8.79,29.3,-21.97
168,0.15,1.03,-0.27,9.42,-28.34,0.24,-9.38,29.0,-22.56
169,0.33,1.04,-0.3,6.6,-2.99,-5.42,-9.38,29.88,-22.85
170,0.26,1.0,-0.07,22.19,-24.35,-4.8,-9.67,29.3,-22.85
171,0.38,1.05,-0.03,59.26,2.37,-6.14,-9.96,29.59,-23.73
172,0.04,1.33,-0.15,88.99,-119.53,20.58,-10.84,29.3,-24.61
173,0.21,1.82,-0.29,-23.31,-121.31,43.13,-11.72,27.54,-23.44
174,0.06,0.73,-1.43,48.84,96.93,-37.38,-11.13,29.3,-23.44
175,-0.0,0.72,-0.49,-63.51,39.46,-43.45,-11.13,30.18,-22.56
176,0.06,0.53,-0.46,-38.93,18.81,-11.71,-10.25,31.05,-22.56
177,0.11,0.44,-0.47,-14.2,-1.25,-1.64,-10.25,30.76,-21.68
178,0.05,0.36,-0.55,21.17,-18.55,2.81,-9.96,30.76,-21.39
179,0.26,0.65,-0.48,6.26,-38.06,6.21,-9.96,29.88,-21.68
180,0.22,0.9,-0.62,36.0,-22.87,4.36,-10.55,29.0,-22.56
181,0.15,1.19,-0.7,51.48,14.76,-16.46,-11.13,29.0,-24.32
182,0.12,1.31,-0.44,48.95,44.08,2.8,-10.84,29.3,-25.49
183,0.4,1.46,-0.35,-36.98,56.97,2.54,-10.25,28.71,-24.32
184,-0.02,1.61,-0.05,5.2,59.05,-3.22,-9.96,29.88,-24.32
185,0.19,1.1,-0.28,-18.96,9.92,5.52,-10.55,29.88,-24.32
186,0.28,1.03,-0.21,-11.38,10.31,-1.4,-9.96,29.0,-23.14
187,0.24,1.02,-0.28,-16.53,1.8,0.63,-9.96,29.0,-23.14
188,0.25,1.04,-0.23,-3.86,20.71,-3.36,-9.67,29.88,-22.85
189,0.17,1.0,-0.25,-11.28,-3.68,0.94,-9.67,29.88,-22.85
190,0.24,1.02,-0.13,3.43,-0.2,-0.48,-8.79,29.3,-22.85
191,0.2,0.98,-0.3,-0.17,-7.63,-0.99,-9.67,29.0,-22.85
192,0.24,1.01,-0.27,-1.56,-6.4,-4.58,-9.38,29.0,-22.27
193,0.22,1.02,-0.15,2.07,-27.12,-3.85,-9.38,29.0,-21.97
194,0.3,1.03,-0.26,3.9,-15.08,-7.81,-9.08,29.3,-22.27
195,0.35,1.02,-0.18,11.67,21.34,-15.79,-9.08,29.0,-22.85
196,0.11,1.05,-0.3,0.21,-15.39,-7.48,-9.38,29.3,-23.14
197,0.14,1.02,-0.35,-12.08,-3.36,-13.48,-8.5,29.0,-22.56
198,0.23,1.03,-0.05,2.07,-6.98,-3.54,-8.79,30.18,-22.27
199,0.09,1.1,-0.11,6.81,-15.7,-7.11,-8.79,29.59,-21.97
200,0.19,1.01,-0.3,7.61,-1.88,-0.24,-8.5,29.59,-21.97
201,0.16,1.02,-0.23,6.59,-0.01,-0.35,-8.79,30.18,-21.97
202,0.17,1.03,-0.23,5.83,-0.83,-0.68,-8.5,29.88,-22.56
203,0.15,1.03,-0.23,4.0,-3.14,0.36,-9.08,29.88,-22.27
204,0.18,1.02,-0.26,3.41,4.62,-0.92,-8.79,30.47,-23.14
205,0.16,1.03,-0.26,4.33,4.68,0.06,-9.08,29.59,-22.27
206,0.2,1.02,-0.22,4.18,-0.16,0.85,-8.5,29.88,-22.85
207,0.2,1.03,-0.28,3.31,-1.5,0.59,-9.38,29.88,-23.44
208,0.18,1.03,-0.27,1.46,-2.49,0.32,-9.38,30.18,-22.85
209,0.19,1.03,-0.23,2.36,-2.11,0.43,-9.08,30.18,-22.27
210,0.18,1.01,-0.24,3.1,-2.32,0.8,-8.79,29.59,-22.85
211,0.18,1.02,-0.27,2.8,-2.4,-0.23,-9.96,29.59,-23.14
212,0.16,1.02,-0.26,1.67,-5.72,-0.37,-8.79,29.3,-23.14
213,0.19,1.02,-0.24,1.71,-2.1,-0.52,-9.38,29.59,-22.85
214,0.18,1.02,-0.25,2.22,-0.06,-0.32,-8.79,29.88,-22.85
215,0.18,1.02,-0.25,2.4,0.38,-0.46,-9.08,29.88,-22.85
216,0.17,1.01,-0.25,1.51,0.03,-0.09,-9.08,29.59,-22.56
217,0.18,1.02,-0.26,0.44,-2.19,-0.22,-9.08,29.59,-22.27
218,0.19,1.02,-0.23,1.22,-0.32,0.37,-8.79,29.59,-22.56
219,0.17,1.02,-0.25,1.33,-0.43,-0.72,-9.08,29.3,-22.56
220,0.17,1.02,-0.24,2.24,-0.53,0.03,-8.79,30.18,-22.27
221,0.17,1.02,-0.24,3.01,-3.04,0.64,-8.79,29.59,-22.27
222,0.17,1.02,-0.23,3.11,0.35,-0.08,-8.5,29.88,-22.56
223,0.18,1.02,-0.25,2.7,-1.82,-0.06,-9.08,29.88,-22.27
224,0.2,1.02,-0.24,2.49,0.28,0.27,-9.08,29.3,-23.14
225,0.2,1.02,-0.24,2.31,-1.89,-0.14,-9.08,29.88,-22.56
226,0.2,1.02,-0.23,2.78,-0.53,0.17,-9.08,29.59,-22.56
227,0.18,1.02,-0.24,2.85,-1.9,-0.08,-9.08,30.47,-22.27
228,0.18,1.02,-0.23,2.82,-0.08,-0.74,-8.79,29.88,-22.56
229,0.16,1.02,-0.23,3.0,-3.72,0.05,-9.08,29.59,-22.27
230,0.19,1.02,-0.23,3.82,-0.13,-1.09,-9.08,29.88,-21.68
231,0.18,1.02,-0.24,3.43,-1.14,-1.01,-9.38,30.18,-22.85
232,0.19,1.02,-0.24,4.18,-0.03,-0.76,-9.08,29.3,-22.56
233,0.17,1.02,-0.26,3.91,-0.4,-1.36,-9.08,29.88,-22.56
234,0.17,1.02,-0.24,2.85,-3.11,-0.48,-9.08,29.3,-22.85
235,0.17,1.02,-0.26,2.45,-2.4,-0.49,-9.38,29.59,-22.56
236,0.19,1.02,-0.23,3.71,-2.72,0.2,-9.08,29.59,-22.56
237,0.18,1.02,-0.24,3.07,-2.14,-0.38,-9.08,30.18,-22.85
238,0.18,1.02,-0.25,3.67,-1.95,-0.63,-8.5,29.59,-22.85
239,0.17,1.02,-0.25,3.1,-2.7,0.08,-9.08,29.88,-22.27
240,0.17,1.02,-0.25,3.23,-2.91,0.1,-8.79,29.59,-22.85
241,0.17,1.02,-0.25,3.2,-3.05,0.24,-9.08,29.0,-23.14
242,0.17,1.01,-0.26,3.46,-1.75,-0.68,-9.38,29.59,-22.27
243,0.18,1.02,-0.24,4.63,-1.67,0.24,-9.67,29.88,-22.27
244,0.17,1.02,-0.26,3.7,-1.98,-0.16,-9.08,30.18,-22.85
245,0.18,1.02,-0.26,2.47,-0.72,-0.21,-8.79,29.88,-22.56
246,0.18,1.02,-0.26,3.03,-2.72,0.08,-9.08,30.18,-22.56
247,0.17,1.02,-0.26,2.15,-1.85,0.46,-9.08,29.88,-22.85
248,0.17,1.02,-0.25,1.94,-3.04,0.17,-9.08,29.59,-22.85
249,0.19,1.02,-0.26,1.83,-1.31,-0.02,-9.67,29.59,-23.14
250,0.18,1.02,-0.23,1.27,-1.1,-0.21,-8.79,29.59,-22.85
251,0.18,1.02,-0.27,3.3,-1.75,-0.05,-9.08,29.3,-23.14
252,0.18,1.02,-0.26,3.15,-2.17,0.25,-9.08,30.18,-22.27
253,0.19,1.02,-0.25,3.01,-3.78,0.12,-9.67,29.88,-23.14
254,0.18,1.02,-0.26,2.19,-1.47,-0.25,-8.79,29.3,-22.56
255,0.19,1.02,-0.25,2.94,-2.34,-0.02,-8.79,30.18,-22.85
256,0.19,1.02,-0.26,2.81,-1.13,0.02,-8.79,29.3,-22.85
257,0.19,1.02,-0.26,3.07,-0.93,-0.4,-9.96,29.3,-22.85
258,0.19,1.02,-0.26,2.93,-0.78,-0.21,-9.08,29.59,-22.85
259,0.18,1.02,-0.24,3.36,-0.73,-0.18,-9.08,29.88,-23.73
260,0.18,1.02,-0.27,2.6,-1.12,-0.27,-8.79,29.59,-23.14
261,0.18,1.02,-0.26,2.25,-0.82,-0.53,-9.38,29.59,-23.14
262,0.18,1.02,-0.26,1.91,-1.19,-0.62,-9.08,29.59,-23.14
263,0.18,1.02,-0.25,2.07,-1.39,-0.22,-9.38,29.59,-22.56
264,0.18,1.02,-0.26,2.13,-0.64,-0.46,-9.08,30.18,-22.56
265,0.18,1.02,-0.26,2.58,-1.25,-0.02,-9.08,29.59,-22.56
266,0.18,1.02,-0.25,2.2,-1.83,-0.06,-9.08,30.18,-21.97
267,0.18,1.02,-0.26,2.78,-0.33,-0.16,-9.08,29.3,-23.14
268,0.18,1.02,-0.24,2.83,-0.73,0.02,-9.08,30.18,-22.56
269,0.18,1.02,-0.26,2.77,-0.16,-0.26,-9.38,30.47,-22.85
270,0.18,1.02,-0.26,2.91,-1.44,-0.41,-9.08,29.3,-22.85
271,0.18,1.02,-0.26,2.5,-1.75,-0.26,-9.08,29.3,-22.85
272,0.18,1.02,-0.25,2.49,-1.97,-0.28,-9.08,29.59,-22.85
273,0.19,1.02,-0.25,2.0,-1.98,-0.31,-8.79,29.3,-22.56
274,0.18,1.02,-0.24,2.39,-2.13,0.26,-9.38,29.3,-22.27
275,0.18,1.02,-0.25,2.57,-1.12,0.09,-9.08,30.76,-22.56
276,0.18,1.01,-0.27,2.51,-2.9,0.09,-9.08,29.88,-22.56
277,0.19,1.02,-0.25,2.51,-2.98,0.6,-9.38,29.59,-22.56
278,0.19,1.02,-0.25,3.01,-2.39,-0.01,-8.79,29.88,-22.56
279,0.18,1.02,-0.25,2.71,-2.46,0.43,-9.08,29.59,-22.85
280,0.19,1.02,-0.24,3.29,-0.79,0.13,-9.08,29.0,-22.85
281,0.18,1.02,-0.25,2.62,-1.53,-0.17,-9.08,29.59,-22.27
282,0.18,1.02,-0.26,2.37,-2.33,-0.35,-8.79,29.3,-22.85
283,0.19,1.02,-0.25,2.94,-2.53,-0.16,-9.38,29.3,-22.85
284,0.18,1.01,-0.26,2.82,-0.44,-0.42,-9.38,29.88,-22.56
285,0.18,1.02,-0.26,2.62,-1.55,-0.53,-9.08,29.3,-22.56
286,0.19,1.02,-0.25,2.89,-2.03,-0.18,-9.67,29.3,-22.85
287,0.18,1.01,-0.25,3.05,-0.57,-0.24,-9.67,29.3,-22.56
288,0.18,1.02,-0.26,2.84,-0.4,-0.69,-9.08,29.3,-22.56
289,0.18,1.02,-0.25,2.65,-2.6,-0.16,-9.67,29.3,-22.85
290,0.18,1.02,-0.26,2.4,-1.85,-0.67,-9.08,29.88,-22.56
291,0.19,1.02,-0.26,2.27,-2.13,-0.58,-9.67,29.3,-22.56
292,0.18,1.02,-0.25,2.59,-1.35,-0.67,-9.38,29.59,-22.85
293,0.18,1.02,-0.25,2.82,-2.03,-0.69,-9.08,29.3,-22.27
294,0.18,1.02,-0.26,2.47,-1.43,-0.98,-8.79,30.18,-22.85
295,0.18,1.02,-0.25,2.92,-2.08,-0.56,-9.38,29.88,-22.27
296,0.17,1.01,-0.27,2.31,-1.36,-0.63,-9.38,29.3,-22.56
297,0.18,1.02,-0.26,2.65,-1.24,-0.59,-9.38,29.59,-22.85
298,0.18,1.02,-0.25,2.84,-1.46,-0.38,-9.38,29.3,-22.56
299,0.18,1.02,-0.26,2.95,-1.59,-0.35,-9.08,29.3,-22.85
300,0.18,1.02,-0.25,3.15,-0.64,-0.26,-9.08,29.59,-23.14
301,0.18,1.02,-0.25,3.11,-0.71,-0.3,-9.08,29.59,-22.85
302,0.18,1.02,-0.27,2.26,-3.43,0.37,-8.79,29.59,-22.27
303,0.17,1.01,-0.26,1.95,-4.13,0.4,-9.08,29.88,-22.56
304,0.19,1.02,-0.26,2.15,-3.2,0.61,-9.38,29.3,-21.97
305,0.18,1.02,-0.25,2.34,-1.59,0.31,-9.38,29.3,-22.85
306,0.2,1.02,-0.25,3.26,-1.68,-0.24,-9.38,29.59,-22.56
307,0.18,1.02,-0.26,3.18,-0.31,-0.57,-8.79,29.59,-22.27
308,0.18,1.02,-0.24,3.65,-0.61,-0.38,-9.38,29.59,-22.56
309,0.18,1.02,-0.26,2.85,-3.03,0.76,-9.67,29.59,-22.56
310,0.18,1.02,-0.28,0.38,-3.6,0.11,-8.79,29.3,-22.56
311,0.19,1.02,-0.24,2.69,-1.55,0.01,-8.79,29.88,-22.85
312,0.18,1.02,-0.25,3.14,0.89,-0.84,-9.08,29.59,-22.85
313,0.18,1.02,-0.26,2.93,-0.44,-0.74,-9.08,29.59,-22.56
314,0.17,1.02,-0.26,2.67,-2.08,-0.23,-9.08,29.59,-22.85
315,0.19,1.02,-0.26,2.61,-0.03,-0.79,-9.38,29.88,-22.56
316,0.19,1.01,-0.24,2.71,-0.74,-0.39,-9.08,29.59,-22.56
317,0.18,1.02,-0.28,1.33,-1.28,-0.36,-9.38,29.59,-23.14
318,0.18,1.02,-0.25,2.66,-3.51,-0.11,-9.08,29.59,-22.27
319,0.18,1.02,-0.25,3.11,-1.46,-0.3,-9.38,29.3,-22.85
320,0.19,1.02,-0.25,2.53,-1.64,-0.46,-8.79,29.59,-22.56
321,0.18,1.02,-0.25,3.04,-2.3,-0.01,-9.08,29.88,-22.85
322,0.19,1.01,-0.27,2.37,-1.2,-0.4,-9.38,29.59,-21.97
323,0.18,1.01,-0.28,2.59,-1.56,-0.53,-9.38,30.18,-22.27
324,0.18,1.02,-0.25,3.18,-1.19,-0.28,-9.38,29.59,-21.68
325,0.18,1.02,-0.26,1.89,-1.34,-0.33,-8.79,29.88,-22.56
326,0.18,1.02,-0.26,2.53,-2.32,-0.54,-9.08,29.59,-22.85
